FeatureFamily,FeatureVariant,Dataset,Model,TrainingTime,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,train_adjusted_rand_score,train_normalized_mutual_info_score,train_v_measure_score,train_homogeneity_score,train_completeness_score,train_f1_score,data_pts,time_sec,energy_kwh,throughput,time_per_sample,energy_per_sample
tfidf,300,arabic,KMeans,48.21231247857213,-0.0037005736019432,706.6822078634109,5.251361778711172,0.4255675009595802,0.5116256774396394,0.5116256774396394,0.5257802670132383,0.498213223342396,0.6508667514878776,700,390.2851047515869,0.0007598128062463,1.793560634207508,0.5575501496451242,1.0854468660661429e-06
tfidf,300,arabic,KMeans++,11.729100855998697,-0.0116781119556475,935.1606453329894,5.11179374348764,0.3799962684483143,0.5188485770475055,0.5188485770475056,0.4565443278351645,0.6008454941563914,0.5256300377729957,700,388.556077003479,0.0007548999707679,1.8015417630277661,0.55508011000497,1.0784285296684286e-06
tfidf,512,arabic,KMeans,51.20569142792374,0.0002450523691427,759.841039004877,5.425673420972662,0.3933710215470076,0.5585128615586072,0.5585128615586074,0.5109649390651445,0.6158178920243651,0.5728971675264347,700,385.9855544567108,0.0007504385212717,1.813539371920994,0.5514079349381583,1.072055030388143e-06
tfidf,512,arabic,KMeans++,37.45949636306614,0.0023861706320508,691.642020697598,5.609716434481258,0.4848423595227905,0.5918765152512404,0.5918765152512405,0.5789422787497696,0.6054018899040756,0.6920051353313548,700,385.07830452919006,0.0007489096732125,1.8178120963107594,0.5501118636131287,1.069870961732143e-06
tfidf,768,arabic,KMeans,67.76433230470866,-0.0120775499273987,374.3038182639055,5.641173010903055,0.5013879450325175,0.6297735609922801,0.6297735609922801,0.7342081538594543,0.5513490522280275,0.6403723859559721,700,385.8684184551239,0.0007497944577909,1.8140898983195985,0.5512405977930341,1.0711349397012857e-06
tfidf,768,arabic,KMeans++,47.687050552107394,-0.006701514351615,462.97398041315137,5.080904369188479,0.5052857938076982,0.6097567508321498,0.6097567508321499,0.6381836207547641,0.5837543460054151,0.6585767051090309,700,385.4120047092438,0.0007495895199553,1.8162381852326643,0.5505885781560625,1.0708421713647143e-06
tfidf,1024,arabic,KMeans,17.723705113865435,0.0006052953151802,864.5858841589376,5.30781717143558,0.1339292056536862,0.357522531165816,0.357522531165816,0.248536152200172,0.6367425196132996,0.2703355575126507,700,386.22159576416016,0.0007506306560145,1.8124310180403362,0.5517451368059431,1.0723295085921427e-06
tfidf,1024,arabic,KMeans++,39.7553812302649,0.006423126972278,767.6594209744288,5.382912535807916,0.2561387487658604,0.5178784286938446,0.5178784286938446,0.4051428326521508,0.7175428898498257,0.4154553985550066,700,385.2658724784851,0.0007489166510476,1.8169270885499753,0.5503798178264073,1.069880930068e-06
tfidf,2048,arabic,KMeans,47.76615884434432,0.0001777256441162,376.77271971128187,5.556734430518777,0.3824546575856111,0.5637682737316941,0.5637682737316942,0.5240403952923378,0.6100138624113225,0.5685613218567308,700,385.6188910007477,0.0007499600068037,1.8152637651733787,0.5508841300010681,1.071371438291e-06
tfidf,2048,arabic,KMeans++,17.524267135187984,-0.0010839265573572,462.0294864872041,5.778922532954687,0.4184570443293641,0.6234055427136151,0.6234055427136153,0.5564584970820612,0.7086643434859845,0.5392452020503886,700,385.8757174015045,0.0007497797897302,1.8140555843052661,0.5512510248592921,1.0711139853288572e-06
